timestamp,AAPL,AMZN,MSFT
1998-01-20,0.1447488,0.2476563,10.67981
1998-01-21,0.1428566,0.2536458,10.61685
1998-01-22,0.1456948,0.2567708,10.74278
1998-01-23,0.147587,0.246875,10.71372
1998-01-26,0.1471139,0.240625,10.98495
1998-01-27,0.1447488,0.2375,11.25134
1998-01-28,0.1452218,0.2385417,11.54679
1998-01-29,0.1400184,0.2479167,11.48867
1998-01-30,0.1385993,0.2458334,11.56132
1998-02-02,0.1338689,0.2598959,12.00208
1998-02-03,0.1385993,0.2575521,12.07957
1998-02-04,0.1381263,0.253125,12.15222
1998-02-05,0.1385993,0.246875,12.04567
1998-02-06,0.1400184,0.2453125,12.25394
1998-02-09,0.1452218,0.2427083,12.18128
1998-02-10,0.1471139,0.2651042,12.34112
1998-02-11,0.1438027,0.2645833,12.3169
1998-02-12,0.1466409,0.2630208,12.30237
1998-02-13,0.147587,0.259375,12.2055
1998-02-17,0.148533,0.2572917,11.96333
1998-02-18,0.1556286,0.2536458,11.9827
1998-02-19,0.1546825,0.2614583,12.00208
1998-02-20,0.1513712,0.2635417,12.02145
1998-02-23,0.160832,0.2703125,12.6511
1998-02-24,0.161305,0.2703125,12.72859
1998-02-25,0.1688735,0.2744792,13.16451
1998-02-26,0.1778612,0.303125,13.25169
1998-02-27,0.1788073,0.3208334,13.13544
1998-03-02,0.1721848,0.3177083,12.91265
1998-03-03,0.175023,0.2989584,13.0967
1998-03-04,0.1849567,0.3059896,12.75766
1998-03-05,0.1821185,0.3125,12.40893
1998-03-06,0.1849567,0.3197917,12.82546
1998-03-09,0.1721848,0.3479167,12.34112
1998-03-10,0.1821185,0.3463542,12.63173
1998-03-11,0.1977287,0.3317708,12.5058
1998-03-12,0.2043512,0.3270833,12.68985
1998-03-13,0.2052973,0.3278646,12.76734
1998-03-16,0.201986,0.3291667,12.70922
1998-03-17,0.1996208,0.3328125,12.45736
1998-03-18,0.2038781,0.3554688,12.67047
1998-03-19,0.202459,0.35,12.70922
1998-03-20,0.1996208,0.35,12.68985
1998-03-23,0.1977287,0.3492188,12.99983
1998-03-24,0.2119198,0.3510417,13.16451
1998-03-25,0.2052973,0.3403646,13.76509
1998-03-26,0.2010399,0.3447917,13.67791
1998-03-27,0.2038781,0.3541667,13.6101
1998-03-30,0.2076624,0.3578125,13.62948
1998-03-31,0.2081355,0.35625,13.87165
1998-04-01,0.2081355,0.3755209,14.00727
1998-04-02,0.2067164,0.3960938,14.15257
1998-04-03,0.2048242,0.3875,14.41412
1998-04-06,0.1986748,0.3692709,13.93946
1998-04-07,0.1929983,0.3552083,13.52292
1998-04-08,0.1892141,0.3692709,13.78447
1998-04-09,0.1939444,0.396875,13.79415
1998-04-13,0.2000939,0.3929688,13.73603
1998-04-14,0.2038781,0.4049479,13.70697
1998-04-15,0.2076624,0.4005209,14.16226
1998-04-16,0.2166501,0.4104167,14.21069
1998-04-17,0.2114467,0.3953125,14.2785
1998-04-20,0.2194883,0.3927084,14.66598
1998-04-21,0.2194883,0.3877604,14.70472
1998-04-22,0.2081355,0.3635417,15.32469
1998-04-23,0.2095546,0.3375,14.6466
1998-04-24,0.2114467,0.3536459,14.2785
1998-04-27,0.2100276,0.3447917,13.99758
1998-04-28,0.2038781,0.3984375,13.92977
1998-04-29,0.2043512,0.3979167,14.02664
1998-04-30,0.2071894,0.3822917,13.96852
1998-05-01,0.2119198,0.39375,13.89102
1998-05-04,0.2199613,0.396875,13.64885
1998-05-05,0.2246917,0.390625,13.60042
1998-05-06,0.229422,0.3765625,13.3873
1998-05-07,0.228476,0.3791667,12.92233
1998-05-08,0.2303681,0.3848959,13.29043
1998-05-11,0.2341524,0.3619792,13.05795
1998-05-12,0.2280029,0.3807292,13.28075
1998-05-13,0.2303681,0.3869792,13.47449
1998-05-14,0.2275299,0.3815104,13.78447
1998-05-15,0.2237456,0.3734375,13.86196
1998-05-18,0.215704,0.3669271,13.33887
1998-05-19,0.2223265,0.3765625,13.40668
1998-05-20,0.2237456,0.3692709,13.29043
1998-05-21,0.2185422,0.3697917,13.3873
1998-05-22,0.2109737,0.3583333,13.26137
1998-05-26,0.201986,0.3411458,12.96108
1998-05-27,0.202459,0.3609375,13.32918
1998-05-28,0.2076624,0.3580729,13.37762
1998-05-29,0.201513,0.3671875,13.14513
1998-06-01,0.1986748,0.3567708,12.98045
1998-06-02,0.2034051,0.3640625,13.25169
1998-06-03,0.1991478,0.3520834,13.06764
1998-06-04,0.2029321,0.365625,13.33887
1998-06-05,0.2034051,0.36875,13.36793
1998-06-08,0.2062433,0.3854167,13.28075
1998-06-09,0.2138119,0.4270833,13.49386
1998-06-10,0.2123928,0.4510417,13.32918
1998-06-11,0.2105006,0.5208334,13.22263
1998-06-12,0.2128658,0.5083334,13.29043
1998-06-15,0.2081355,0.5479167,13.3195
1998-06-16,0.2119198,0.6135417,13.92977
1998-06-17,0.2128658,0.6583334,14.11382
1998-06-18,0.2067164,0.5994792,14.1332
1998-06-19,0.2048242,0.6317708,14.67566
1998-06-22,0.2071894,0.678125,14.85003
1998-06-23,0.2105006,0.7723958,15.61529
1998-06-24,0.2138119,0.8317709,16.26431
1998-06-25,0.2161771,0.8255209,15.74122
1998-06-26,0.2133389,0.7854167,16.18682
1998-06-29,0.2171231,0.8229167,16.65179
1998-06-30,0.2171231,0.8312501,16.79709
1998-07-01,0.2265838,0.9510417,16.95209
1998-07-02,0.2194883,1.033333,16.62273
1998-07-06,0.2298951,1.1625,16.70991
1998-07-07,0.2308412,1.017708,16.72929
1998-07-08,0.2464513,0.8927084,17.02958
1998-07-09,0.2398288,0.8791667,17.20395
1998-07-10,0.242667,0.8291667,17.54299
1998-07-13,0.2568581,0.896875,18.22107
1998-07-14,0.2530738,0.9583334,18.05639
1998-07-15,0.2606424,0.9375001,18.19201
1998-07-16,0.2838211,0.9447917,18.19201
1998-07-17,0.2790907,0.9984375,18.27919
1998-07-20,0.2743604,1.145833,18.13389
1998-07-21,0.26963,1.100521,17.48487
1998-07-22,0.2648997,1.116667,18.09514
1998-07-23,0.2644266,1.063542,17.51393
1998-07-24,0.2625345,1.035417,17.63986
1998-07-27,0.2606424,1.046354,18.09514
1998-07-28,0.2544929,0.9911459,17.39768
1998-07-29,0.2658457,0.8984376,17.15551
1998-07-30,0.2762525,0.9479167,17.58173
1998-07-31,0.2620615,0.9239584,17.03927
1998-08-03,0.2658457,0.9020834,16.80678
1998-08-04,0.2587502,0.915625,16.19651
1998-08-05,0.2724682,0.8848959,16.16745
1998-08-06,0.2790907,0.9125,16.56461
1998-08-07,0.2762525,0.9666667,16.40962
1998-08-10,0.2871323,1.013542,16.18682
1998-08-11,0.2951739,1.033333,16.03183
1998-08-12,0.3032155,1.086458,16.28369
1998-08-13,0.2984852,1.0625,16.10933
1998-08-14,0.3065268,1.022917,16.15776
1998-08-17,0.3174066,0.9973959,16.63242
1998-08-18,0.3221369,1.072396,17.24269
1998-08-19,0.310311,1.072917,17.13614
1998-08-20,0.3074729,1.076042,17.44612
1998-08-21,0.3254482,1.080729,17.14582
1998-08-24,0.3117302,1.122917,17.10708
1998-08-25,0.308892,1.096875,17.48487
1998-08-26,0.3055807,1.060417,17.44612
1998-08-27,0.2838211,0.9916667,16.93271
1998-08-28,0.2587502,0.8822917,16.31275
1998-08-31,0.2360445,0.6979167,14.8694
1998-09-01,0.2582772,0.6661459,15.69279
1998-09-02,0.269157,0.7322917,15.58623
1998-09-03,0.2620615,0.715625,15.38281
1998-09-04,0.2658457,0.7187501,14.97596
1998-09-08,0.2894975,0.76875,15.80903
1998-09-09,0.282875,0.7041667,15.84778
1998-09-10,0.2885514,0.6635417,15.61529
1998-09-11,0.2847672,0.6338542,16.15776
1998-09-14,0.2814559,0.6140625,16.42899
1998-09-15,0.2890245,0.6083333,16.78741
1998-09-16,0.282402,0.7041667,16.76803
1998-09-17,0.2724682,0.6416667,16.26431
1998-09-18,0.2781447,0.6640626,16.33212
1998-09-21,0.2795638,0.7125,16.7196
1998-09-22,0.2800368,0.7348959,16.92303
1998-09-23,0.2899705,0.8760417,17.61079
1998-09-24,0.2913896,0.8510417,17.06833
1998-09-25,0.2932818,0.9104167,17.52361
1998-09-28,0.295647,0.9635417,17.25238
1998-09-29,0.2989582,0.9427084,17.49455
1998-09-30,0.2885514,0.9302084,17.05864
1998-10-01,0.2701031,0.8552084,16.1287
1998-10-02,0.2653727,0.91875,16.13839
1998-10-05,0.2436131,0.8833334,15.6831
1998-10-06,0.2464513,0.9026042,15.13095
1998-10-07,0.241721,0.7786459,14.58848
1998-10-08,0.2332063,0.7182292,14.1332
1998-10-09,0.2658457,0.7598959,15.0147
1998-10-12,0.2833481,0.7765625,15.4603
1998-10-13,0.2932818,0.7614584,14.9469
1998-10-14,0.282875,0.7791667,15.52811
1998-10-15,0.2771986,0.8088542,16.34181
1998-10-16,0.2776716,0.8286459,16.28369
